onset	duration	value	trial_type
23.4291	18	1	WordCongruent
56.4429	18	1	WordCongruent
87.4496	18	1	WordIncongruent
119.4803	18	1	WordIncongruent
151.511	18	1	WordIncongruent
184.5248	18	1	WordIncongruent
214.5485	18	1	WordCongruent
242.5651	18	1	WordCongruent
273.6128	18	1	WordIncongruent
304.6605	18	1	WordCongruent
332.6771	18	1	WordCongruent
365.6909	18	1	WordIncongruent
398.7456	18	1	WordCongruent
430.7354	18	1	WordIncongruent
462.7661	18	1	WordCongruent
490.7827	18	1	WordIncongruent
521.7894	18	1	WordCongruent
552.8371	18	1	WordIncongruent
